종목코드,종목명,시장구분,업종명,시가총액
183490,엔지켐생명과학,KOSDAQ,제약,145547176582
184230,SGA솔루션즈,KOSDAQ,소프트웨어,49364561064
185490,아이진,KOSDAQ,기타서비스,100518631200
185750,종근당,KOSPI,의약품,1113565910400
186230,그린플러스,KOSDAQ,금속,110041311960
187220,디티앤씨,KOSDAQ,기타서비스,51646762715
187270,신화콘텍,KOSDAQ,IT부품,50567067325
187420,제노포커스,KOSDAQ,제약,113075550200
187660,에이디엠코리아,KOSDAQ,기타서비스,43563318750
187790,나노,KOSDAQ,화학,37995959535
187870,디바이스이엔지,KOSDAQ,반도체,127995917710
